week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,neutral,openai-4.1-mini,1,f01,1,quantitative,Trump stated the US subsidizes Canada by 200 billion dollars a year.,YES,claiming that the U.S. subsidizes Canada by $200 billion annually,YES,claiming that the U.S. subsidizes Canada by $200 billion annually
1,neutral,openai-4.1-mini,1,f02,1,relational,Trump expressed willingness to work with Pierre Poilievre if he becomes Canadian leader.,YES,"if Prime Minister Justin Trudeau resigns, he looks forward to working with Pierre Poilievre",YES,"if Prime Minister Justin Trudeau resigns, he looks forward to working with Pierre Poilievre"
1,neutral,openai-4.1-mini,1,f03,1,named_entity,"Trump referenced Canada, Greenland, Panama Canal, and China in strategic context.",YES,mentioning Greenland and the Panama Canal,YES,mentioning Greenland and the Panama Canal
1,neutral,openai-4.1-mini,1,f04,1,quantitative,Trump claimed China rips off the US for a trillion dollars a year.,YES,criticized China for allegedly causing a $1 trillion annual loss to the U.S.,YES,criticized China for allegedly causing a $1 trillion annual loss to the U.S.
1,neutral,openai-4.1-mini,2,f01,1,quantitative,Trump stated the US subsidizes Canada by 200 billion dollars a year.,YES,Trump emphasized concerns about the U.S. subsidizing Canada by $200 billion annually,YES,Trump emphasized concerns about the U.S. subsidizing Canada by $200 billion annually
1,neutral,openai-4.1-mini,2,f02,1,relational,Trump expressed willingness to work with Pierre Poilievre if he becomes Canadian leader.,YES,dismissing Canadian Conservative leader Pierre Poilievre’s opposition as irrelevant,YES,dismissing Canadian Conservative leader Pierre Poilievre’s opposition as irrelevant
1,neutral,openai-4.1-mini,2,f03,1,named_entity,"Trump referenced Canada, Greenland, Panama Canal, and China in strategic context.",YES,reclaim or exert control over strategic locations including Greenland and the Panama Canal... criticized China’s trade practices,YES,reclaim or exert control over strategic locations including Greenland and the Panama Canal... criticized China’s trade practices
1,neutral,openai-4.1-mini,2,f04,1,quantitative,Trump claimed China rips off the US for a trillion dollars a year.,YES,"He criticized China’s trade practices and naval expansion, linking them to U.S. economic losses",YES,"criticized China’s trade practices and naval expansion, linking them to U.S. economic losses"
1,neutral,openai-4.1-mini,2,f05,2,relational,rejected assurance against military or economic coercion for Panama and Greenland,YES,explicitly refused to assure the international community that military or economic coercion would not be used,YES,explicitly refused to assure the international community that military or economic coercion would not be used
1,neutral,openai-4.1-mini,2,f06,2,named_entity,named China as operator abusing the Panama Canal,YES,"claimed the Panama Canal was ""given to Panama,"" not China, and accused China of abusing it",YES,"claimed the Panama Canal was 'given to Panama,' not China, and accused China of abusing it"
