week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,stylized_1000tok,openai-4o-mini,7,f01,1,quantitative,ran 10 kilometers in the morning.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f02,1,emotional,felt excited about the upcoming marathon.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f03,1,named_entity,attended a workshop at Oslo University.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f04,2,relational,had lunch with her colleague Anna.,YES,support from colleague Anna,YES,support from colleague Anna
1,stylized_1000tok,openai-4o-mini,7,f05,2,quantitative,spent 45 minutes on strength training.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f06,2,emotional,felt a bit overwhelmed with work.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f07,3,named_entity,visited the Oslo Opera House.,YES,visited the Holmenkollen Ski Museum,YES,visited the Holmenkollen Ski Museum
1,stylized_1000tok,openai-4o-mini,7,f08,3,quantitative,ran 15 kilometers in the evening.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f09,3,relational,reconnected with an old high school friend.,YES,delightful reconnection with an old high school friend,YES,delightful reconnection with an old high school friend
1,stylized_1000tok,openai-4o-mini,7,f10,4,emotional,felt proud after finishing her client’s rehabilitation successfully.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f11,4,quantitative,worked 8 hours at the clinic.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f12,4,relational,argued with her partner about weekend plans.,YES,a bit of friction arose with their partner over weekend plans,YES,a bit of friction arose with their partner over weekend plans
1,stylized_1000tok,openai-4o-mini,7,f13,5,named_entity,met with her running club at Frogner Park.,YES,energizing 12-kilometer run with their enthusiastic running club at Frogner Park,YES,12-kilometer run with their enthusiastic running club at Frogner Park
1,stylized_1000tok,openai-4o-mini,7,f14,5,quantitative,ran 12 kilometers during the club meet.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f15,5,emotional,felt motivated by her running peers.,YES,finding motivation in the camaraderie of fellow runners,YES,finding motivation in the camaraderie of fellow runners
1,stylized_1000tok,openai-4o-mini,7,f16,6,relational,had a long conversation with her mentor about career goals.,YES,enjoyed a long conversation with their mentor,YES,enjoyed a long conversation with their mentor
1,stylized_1000tok,openai-4o-mini,7,f17,6,quantitative,spent 30 minutes studying new physiotherapy techniques.,YES,dedicate 30 minutes to mastering innovative recovery techniques,YES,dedicate 30 minutes to mastering innovative recovery techniques
1,stylized_1000tok,openai-4o-mini,7,f18,6,emotional,felt inspired after the conversation.,NO,,NO,
1,stylized_1000tok,openai-4o-mini,7,f19,7,named_entity,visited the Holmenkollen Ski Museum.,YES,visited the Holmenkollen Ski Museum,YES,visited the Holmenkollen Ski Museum
1,stylized_1000tok,openai-4o-mini,7,f20,7,quantitative,ran a total of 20 kilometers during the weekend.,YES,tackled a stunning 20 kilometers,YES,tackled a stunning 20 kilometers
1,stylized_1000tok,openai-4o-mini,7,f21,7,emotional,felt relaxed after a week of training and work.,YES,feeling 'really relaxed' after a busy week,YES,feeling 'really relaxed' after a busy week
4,stylized_1000tok,openai-4o-mini,7,f01,1,relational,met with editor Ahmet to discuss the upcoming article on local elections.,NO,,NO,
4,stylized_1000tok,openai-4o-mini,7,f02,1,quantitative,spent 4 hours researching political party platforms.,NO,,NO,
