week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,neutral,openai-4.1-mini,7,f01,1,quantitative,Trump stated the US subsidizes Canada by 200 billion dollars a year.,NO,,NO,
1,neutral,openai-4.1-mini,7,f02,1,relational,Trump expressed willingness to work with Pierre Poilievre if he becomes Canadian leader.,NO,,NO,
1,neutral,openai-4.1-mini,7,f03,1,named_entity,"Trump referenced Canada, Greenland, Panama Canal, and China in strategic context.",NO,,UNCLEAR,Trump initially proposed making Canada the 51st U.S. state and reclaiming Greenland and the Panama Canal to counter China
1,neutral,openai-4.1-mini,7,f04,1,quantitative,Trump claimed China rips off the US for a trillion dollars a year.,NO,,NO,
1,neutral,openai-4.1-mini,7,f05,2,relational,rejected assurance against military or economic coercion for Panama and Greenland,NO,,UNCLEAR,refusing to rule out military or economic coercion and threatening Danish tariffs
1,neutral,openai-4.1-mini,7,f06,2,named_entity,named China as operator abusing the Panama Canal,NO,,NO,
1,neutral,openai-4.1-mini,7,f07,2,quantitative,"cited approximately 45,000 as Greenland's population",NO,,NO,
1,neutral,openai-4.1-mini,7,f08,2,relational,threatened to tariff Denmark if Greenland voted to join the US,YES,threatening Danish tariffs,YES,threatening Danish tariffs
1,neutral,openai-4.1-mini,7,f09,3,named_entity,named Mike Waltz as part of the US delegation to Greenland,NO,,NO,
1,neutral,openai-4.1-mini,7,f10,3,relational,rejected US acquisition pressure as a demonstration of power over Greenland,NO,,NO,
1,neutral,openai-4.1-mini,7,f11,3,emotional,expressed that US pressure violates Greenlandic sovereignty and identity,NO,,YES,Greenlandic Prime Minister Múte Bourup Egede condemned the U.S. delegation’s visit as an aggressive annexation campaign violating sovereignty
1,neutral,openai-4.1-mini,7,f12,3,relational,called for international community and allies to intervene beyond hesitant support,NO,,NO,
1,neutral,openai-4.1-mini,7,f13,4,relational,Acknowledged a conflict over Greenland involving Denmark and the United States.,YES,tensions between the United States and Denmark regarding Greenland,YES,strain in the Denmark-U.S. relationship
1,neutral,openai-4.1-mini,7,f14,4,emotional,Described the current situation as a decisive moment with high stakes.,YES,a decisive moment with high stakes,YES,signaling that more difficult challenges lie ahead
1,neutral,openai-4.1-mini,7,f15,4,named_entity,Referenced Denmark's commitment to international law and peoples' right to self-determination.,YES,"adherence to international law, self-determination, and the defense of Greenland as part of the Kingdom of Denmark and NATO",YES,"emphasizing NATO and EU ties over U.S. overtures... adherence to international law, self-determination, and the defense of Greenland as part of the Kingdom of Denmark and NATO"
1,neutral,openai-4.1-mini,7,f16,4,relational,"Noted Denmark's readiness to defend its values, including in the Arctic region.",YES,Denmark’s readiness to defend its values and sovereignty,YES,Denmark’s readiness to defend its values and sovereignty
1,neutral,openai-4.1-mini,7,f17,5,relational,urged the United States to stop threats against a historically close ally and Greenland.,YES,strain in the Denmark-U.S. relationship,YES,Greenland and Denmark united in rejecting U.S. claims
1,neutral,openai-4.1-mini,7,f18,5,named_entity,stated the Kingdom of Denmark and Greenland are part of NATO with security guarantees.,YES,Greenland as part of the Kingdom of Denmark and NATO,YES,Greenland as part of the Kingdom of Denmark and NATO
1,neutral,openai-4.1-mini,7,f19,5,named_entity,confirmed a defense agreement grants the United States wide access to Greenland.,NO,,NO,
1,neutral,openai-4.1-mini,7,f20,6,relational,stated there is a conflict over Greenland between Denmark and the United States,YES,tensions between the United States and Denmark regarding Greenland,YES,strain in the Denmark-U.S. relationship
1,neutral,openai-4.1-mini,7,f21,6,emotional,"expressed firm resolve that Denmark is ready to defend its values wherever necessary, including the Arctic",YES,Denmark’s readiness to defend its values and sovereignty,YES,Denmark’s readiness to defend its values and sovereignty
1,neutral,openai-4.1-mini,7,f22,6,relational,affirmed belief in international law and peoples' right to self-determination,YES,"adherence to international law, self-determination",YES,"emphasizing... adherence to international law, self-determination"
1,neutral,openai-4.1-mini,7,f23,6,emotional,described the current situation as a decisive moment with stakes beyond Greenland's immediate future,YES,a decisive moment with high stakes,YES,signaling that more difficult challenges lie ahead
1,neutral,openai-4.1-mini,7,f24,7,relational,"Nielsen stated Greenland chooses Denmark, NATO, and the EU over the United States.",YES,"Greenland’s allegiance to Denmark, NATO, and the EU",YES,"Greenlandic Prime Minister Pele Broberg Nielsen explicitly declared Greenland’s allegiance to Denmark, NATO, and the EU"
1,neutral,openai-4.1-mini,7,f25,7,emotional,Nielsen expressed Greenland's firm rejection of US ownership or governance.,YES,rejecting any U.S. ownership or governance,YES,rejecting any U.S. ownership or governance
1,neutral,openai-4.1-mini,7,f26,7,named_entity,Nielsen referenced NATO as a source of support for Greenland.,YES,expressed faith in NATO’s support,YES,expressed faith in NATO’s support amid the crisis
1,neutral,openai-4.1-mini,7,f27,7,relational,Frederiksen described US pressure on Denmark as completely unacceptable.,YES,calling U.S. pressure “completely unacceptable”,YES,"Danish Prime Minister Mette Frederiksen reiterated Denmark’s firm stance, calling U.S. pressure “completely unacceptable”"
1,stylized,openai-4.1-mini,7,f01,1,quantitative,Trump stated the US subsidizes Canada by 200 billion dollars a year.,NO,,NO,
1,stylized,openai-4.1-mini,7,f02,1,relational,Trump expressed willingness to work with Pierre Poilievre if he becomes Canadian leader.,NO,,NO,
1,stylized,openai-4.1-mini,7,f03,1,named_entity,"Trump referenced Canada, Greenland, Panama Canal, and China in strategic context.",NO,,NO,
1,stylized,openai-4.1-mini,7,f04,1,quantitative,Trump claimed China rips off the US for a trillion dollars a year.,NO,,NO,
1,stylized,openai-4.1-mini,7,f05,2,relational,rejected assurance against military or economic coercion for Panama and Greenland,NO,,NO,
1,stylized,openai-4.1-mini,7,f06,2,named_entity,named China as operator abusing the Panama Canal,NO,,NO,
1,stylized,openai-4.1-mini,7,f07,2,quantitative,"cited approximately 45,000 as Greenland's population",NO,,NO,
1,stylized,openai-4.1-mini,7,f08,2,relational,threatened to tariff Denmark if Greenland voted to join the US,NO,,NO,
1,stylized,openai-4.1-mini,7,f09,3,named_entity,named Mike Waltz as part of the US delegation to Greenland,NO,,NO,
1,stylized,openai-4.1-mini,7,f10,3,relational,rejected US acquisition pressure as a demonstration of power over Greenland,NO,,NO,
1,stylized,openai-4.1-mini,7,f11,3,emotional,expressed that US pressure violates Greenlandic sovereignty and identity,NO,,NO,
1,stylized,openai-4.1-mini,7,f12,3,relational,called for international community and allies to intervene beyond hesitant support,NO,,NO,
1,stylized,openai-4.1-mini,7,f13,4,relational,Acknowledged a conflict over Greenland involving Denmark and the United States.,NO,,NO,
1,stylized,openai-4.1-mini,7,f14,4,emotional,Described the current situation as a decisive moment with high stakes.,YES,"""underscoring the gravity of the moment""",YES,underscoring the gravity of the moment
1,stylized,openai-4.1-mini,7,f15,4,named_entity,Referenced Denmark's commitment to international law and peoples' right to self-determination.,NO,,NO,
1,stylized,openai-4.1-mini,7,f16,4,relational,"Noted Denmark's readiness to defend its values, including in the Arctic region.",NO,,NO,
1,stylized,openai-4.1-mini,7,f17,5,relational,urged the United States to stop threats against a historically close ally and Greenland.,YES,"""Frederiksen’s blunt admission—that Denmark faces “completely unacceptable pressure from our closest ally""",YES,Denmark faces “completely unacceptable pressure from our closest ally”
1,stylized,openai-4.1-mini,7,f18,5,named_entity,stated the Kingdom of Denmark and Greenland are part of NATO with security guarantees.,NO,,YES,"Greenland’s allegiance is unequivocal—Denmark, NATO, the EU"
1,stylized,openai-4.1-mini,7,f19,5,named_entity,confirmed a defense agreement grants the United States wide access to Greenland.,NO,,NO,
1,stylized,openai-4.1-mini,7,f20,6,relational,stated there is a conflict over Greenland between Denmark and the United States,NO,,NO,
1,stylized,openai-4.1-mini,7,f21,6,emotional,"expressed firm resolve that Denmark is ready to defend its values wherever necessary, including the Arctic",NO,,YES,"Kielsen’s words cut through the fog: Greenland’s allegiance is unequivocal—Denmark, NATO, the EU"
1,stylized,openai-4.1-mini,7,f22,6,relational,affirmed belief in international law and peoples' right to self-determination,NO,,NO,
1,stylized,openai-4.1-mini,7,f23,6,emotional,described the current situation as a decisive moment with stakes beyond Greenland's immediate future,YES,"""underscoring the gravity of the moment""",YES,underscoring the gravity of the moment
1,stylized,openai-4.1-mini,7,f24,7,relational,"Nielsen stated Greenland chooses Denmark, NATO, and the EU over the United States.",YES,"""Greenland’s allegiance is unequivocal—Denmark, NATO, the EU—not the United States""",YES,"Greenland’s allegiance is unequivocal—Denmark, NATO, the EU"
1,stylized,openai-4.1-mini,7,f25,7,emotional,Nielsen expressed Greenland's firm rejection of US ownership or governance.,YES,"""Greenland does not want to be owned by the United States""",YES,"“Greenland does not want to be owned by the United States,” he insists"
1,stylized,openai-4.1-mini,7,f26,7,named_entity,Nielsen referenced NATO as a source of support for Greenland.,YES,"""Denmark, NATO, the EU""",YES,"Greenland’s allegiance is unequivocal—Denmark, NATO, the EU"
1,stylized,openai-4.1-mini,7,f27,7,relational,Frederiksen described US pressure on Denmark as completely unacceptable.,YES,"""Frederiksen’s blunt admission—that Denmark faces “completely unacceptable pressure from our closest ally""",YES,Denmark faces “completely unacceptable pressure from our closest ally”
1,decoupled,openai-4.1-mini,7,f01,1,quantitative,Trump stated the US subsidizes Canada by 200 billion dollars a year.,NO,,NO,
1,decoupled,openai-4.1-mini,7,f02,1,relational,Trump expressed willingness to work with Pierre Poilievre if he becomes Canadian leader.,NO,,NO,
1,decoupled,openai-4.1-mini,7,f03,1,named_entity,"Trump referenced Canada, Greenland, Panama Canal, and China in strategic context.",NO,,YES,"China’s expanding influence, especially its control over the Panama Canal—a vital artery for U.S. military and economic security—loomed large."
1,decoupled,openai-4.1-mini,7,f04,1,quantitative,Trump claimed China rips off the US for a trillion dollars a year.,NO,,NO,
1,decoupled,openai-4.1-mini,7,f05,2,relational,rejected assurance against military or economic coercion for Panama and Greenland,NO,,UNCLEAR,"The U.S. hinted at no small ambitions: Greenland and the Panama Canal could be on the table for acquisition, not through overt military action but via economic and political pressure"
1,decoupled,openai-4.1-mini,7,f06,2,named_entity,named China as operator abusing the Panama Canal,YES,"China’s expanding influence, especially its control over the Panama Canal",YES,"China’s expanding influence, especially its control over the Panama Canal—a vital artery for U.S. military and economic security—loomed large."
1,decoupled,openai-4.1-mini,7,f07,2,quantitative,"cited approximately 45,000 as Greenland's population",NO,,NO,
1,decoupled,openai-4.1-mini,7,f08,2,relational,threatened to tariff Denmark if Greenland voted to join the US,NO,,NO,
1,decoupled,openai-4.1-mini,7,f09,3,named_entity,named Mike Waltz as part of the US delegation to Greenland,YES,National Security Adviser Mike Waltz,YES,"A high-level U.S. delegation, featuring Energy Secretaries Usha Vance and Chris Wright, alongside National Security Adviser Mike Waltz, arrived to exert pressure on the island’s leadership."
1,decoupled,openai-4.1-mini,7,f10,3,relational,rejected US acquisition pressure as a demonstration of power over Greenland,YES,Greenlandic leader Egede lambasted U.S. tactics as a “violation of sovereignty”,YES,"Greenlandic leader Egede lambasted U.S. tactics as a “violation of sovereignty,” calling for the international community to intervene."
1,decoupled,openai-4.1-mini,7,f11,3,emotional,expressed that US pressure violates Greenlandic sovereignty and identity,YES,Greenlandic leader Egede lambasted U.S. tactics as a “violation of sovereignty”,YES,"Greenlandic leader Egede lambasted U.S. tactics as a “violation of sovereignty,”"
1,decoupled,openai-4.1-mini,7,f12,3,relational,called for international community and allies to intervene beyond hesitant support,YES,calling for the international community to intervene,YES,calling for the international community to intervene.
1,decoupled,openai-4.1-mini,7,f13,4,relational,Acknowledged a conflict over Greenland involving Denmark and the United States.,YES,a decisive moment” for Arctic sovereignty,YES,"Denmark’s Prime Minister Mette Frederiksen entered the fray with a resolute stance, declaring this “a decisive moment” for Arctic sovereignty."
