week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,stylized,openai-4o-mini,7,f01,1,quantitative,ran 10 kilometers in the morning.,NO,,NO,
1,stylized,openai-4o-mini,7,f02,1,emotional,felt excited about the upcoming marathon.,NO,,YES,the marathon countdown intensifying
1,stylized,openai-4o-mini,7,f03,1,named_entity,attended a workshop at Oslo University.,NO,,NO,
1,stylized,openai-4o-mini,7,f04,2,relational,had lunch with her colleague Anna.,NO,,NO,
1,stylized,openai-4o-mini,7,f05,2,quantitative,spent 45 minutes on strength training.,NO,,NO,
1,stylized,openai-4o-mini,7,f06,2,emotional,felt a bit overwhelmed with work.,NO,,NO,
1,stylized,openai-4o-mini,7,f07,3,named_entity,visited the Oslo Opera House.,YES,they ventured to the Holmenkollen Ski Museum,YES,ventured to the Holmenkollen Ski Museum
1,stylized,openai-4o-mini,7,f08,3,quantitative,ran 15 kilometers in the evening.,NO,,NO,
1,stylized,openai-4o-mini,7,f09,3,relational,reconnected with an old high school friend.,NO,,NO,
1,stylized,openai-4o-mini,7,f10,4,emotional,felt proud after finishing her client’s rehabilitation successfully.,NO,,NO,
1,stylized,openai-4o-mini,7,f11,4,quantitative,worked 8 hours at the clinic.,NO,,NO,
1,stylized,openai-4o-mini,7,f12,4,relational,argued with her partner about weekend plans.,NO,,YES,discussions with their partner continue
1,stylized,openai-4o-mini,7,f13,5,named_entity,met with her running club at Frogner Park.,YES,12 kilometers logged at Frogner Park,NO,
1,stylized,openai-4o-mini,7,f14,5,quantitative,ran 12 kilometers during the club meet.,NO,,YES,12 kilometers logged at Frogner Park
1,stylized,openai-4o-mini,7,f15,5,emotional,felt motivated by her running peers.,YES,it definitely reignited my motivation,YES,it definitely reignited my motivation
1,stylized,openai-4o-mini,7,f16,6,relational,had a long conversation with her mentor about career goals.,NO,,NO,
1,stylized,openai-4o-mini,7,f17,6,quantitative,spent 30 minutes studying new physiotherapy techniques.,NO,,NO,
1,stylized,openai-4o-mini,7,f18,6,emotional,felt inspired after the conversation.,NO,,NO,
1,stylized,openai-4o-mini,7,f19,7,named_entity,visited the Holmenkollen Ski Museum.,YES,they ventured to the Holmenkollen Ski Museum,NO,
1,stylized,openai-4o-mini,7,f20,7,quantitative,ran a total of 20 kilometers during the weekend.,YES,With an impressive 20 kilometers clocked over the weekend,YES,impressive 20 kilometers clocked over the weekend
1,stylized,openai-4o-mini,7,f21,7,emotional,felt relaxed after a week of training and work.,NO,,NO,
1,decoupled,openai-4o-mini,7,f01,1,quantitative,ran 10 kilometers in the morning.,YES,I ran 10 kilometers this morning,YES,I ran 10 kilometers this morning
1,decoupled,openai-4o-mini,7,f02,1,emotional,felt excited about the upcoming marathon.,YES,I'm really excited about the upcoming marathon,YES,I'm really excited about the upcoming marathon
1,decoupled,openai-4o-mini,7,f03,1,named_entity,attended a workshop at Oslo University.,YES,I attended a workshop at Oslo University,YES,I attended a workshop at Oslo University
1,decoupled,openai-4o-mini,7,f04,2,relational,had lunch with her colleague Anna.,YES,After an invigorating lunch with colleague Anna,YES,After an invigorating lunch with colleague Anna
1,decoupled,openai-4o-mini,7,f05,2,quantitative,spent 45 minutes on strength training.,YES,"dedicated time to strength training, pushing herself for 45 minutes",YES,"dedicated time to strength training, pushing herself for 45 minutes"
1,decoupled,openai-4o-mini,7,f06,2,emotional,felt a bit overwhelmed with work.,YES,I’ve felt a bit overwhelmed with work lately,YES,I’ve felt a bit overwhelmed with work lately
1,decoupled,openai-4o-mini,7,f07,3,named_entity,visited the Oslo Opera House.,YES,a delightful surprise—a reconnection with an old high school friend during a visit to the iconic Oslo Opera House,YES,a delightful surprise—a reconnection with an old high school friend during a visit to the iconic Oslo Opera House
1,decoupled,openai-4o-mini,7,f08,3,quantitative,ran 15 kilometers in the evening.,NO,,NO,
1,decoupled,openai-4o-mini,7,f09,3,relational,reconnected with an old high school friend.,NO,,YES,a reconnection with an old high school friend
1,decoupled,openai-4o-mini,7,f10,4,emotional,felt proud after finishing her client’s rehabilitation successfully.,YES,Feeling proud after the client's rehabilitation success,YES,celebrated a significant achievement: the successful rehabilitation of a client
1,decoupled,openai-4o-mini,7,f11,4,quantitative,worked 8 hours at the clinic.,YES,after a full 8-hour shift at the clinic,YES,after a full 8-hour shift at the clinic
1,decoupled,openai-4o-mini,7,f12,4,relational,argued with her partner about weekend plans.,YES,grappled with a disagreement with her partner regarding weekend plans,YES,grappled with a disagreement with her partner regarding weekend plans
1,decoupled,openai-4o-mini,7,f13,5,named_entity,met with her running club at Frogner Park.,NO,,NO,
1,decoupled,openai-4o-mini,7,f14,5,quantitative,ran 12 kilometers during the club meet.,NO,,NO,
1,decoupled,openai-4o-mini,7,f15,5,emotional,felt motivated by her running peers.,NO,,YES,Feeling inspired and motivated
1,decoupled,openai-4o-mini,7,f16,6,relational,had a long conversation with her mentor about career goals.,YES,"a long, introspective conversation with her mentor, where they delved into her career goals",YES,"a long, introspective conversation with her mentor, where they delved into her career goals"
1,decoupled,openai-4o-mini,7,f17,6,quantitative,spent 30 minutes studying new physiotherapy techniques.,NO,,NO,
1,decoupled,openai-4o-mini,7,f18,6,emotional,felt inspired after the conversation.,YES,Feeling inspired and motivated,YES,Feeling inspired and motivated
1,decoupled,openai-4o-mini,7,f19,7,named_entity,visited the Holmenkollen Ski Museum.,YES,a visit to the Holmenkollen Ski Museum,YES,a visit to the Holmenkollen Ski Museum
1,decoupled,openai-4o-mini,7,f20,7,quantitative,ran a total of 20 kilometers during the weekend.,YES,a staggering 20 kilometers of running over the weekend,YES,a staggering 20 kilometers of running over the weekend
1,decoupled,openai-4o-mini,7,f21,7,emotional,felt relaxed after a week of training and work.,YES,I felt relaxed after a week of training and work,YES,I felt relaxed after a week of training and work
2,stylized,openai-4o-mini,7,f01,1,named_entity,attended a parents' evening at Manchester Academy,YES,parents' evening at Manchester Academy,YES,parents' evening at Manchester Academy
2,stylized,openai-4o-mini,7,f02,1,emotional,felt proud of his daughter's academic achievements,YES,pride radiated from her every word,YES,pride radiated from her every word
2,stylized,openai-4o-mini,7,f03,1,relational,had a long chat with his daughter about her university choices,NO,,NO,
2,stylized,openai-4o-mini,7,f04,2,quantitative,spent 3 hours helping his daughter with her personal statement,NO,,NO,
2,stylized,openai-4o-mini,7,f05,2,emotional,felt overwhelmed by the university application process,NO,,NO,
2,stylized,openai-4o-mini,7,f06,2,relational,joined a support group for parents of university applicants,NO,,YES,her brother’s unwavering support
2,stylized,openai-4o-mini,7,f07,3,named_entity,visited the University of Manchester campus,NO,,YES,Liverpool Hope University
2,stylized,openai-4o-mini,7,f08,3,quantitative,spent 45 minutes walking around the campus,NO,,YES,four-hour experience that unfolded at Liverpool Hope
2,stylized,openai-4o-mini,7,f09,3,emotional,felt excited about his daughter's potential future,YES,I felt really hopeful about the opportunities available for my daughter,YES,I felt really hopeful about the opportunities available for my daughter
2,stylized,openai-4o-mini,7,f10,4,relational,discussed university finances with his brother,NO,,NO,
2,stylized,openai-4o-mini,7,f11,4,quantitative,budgeted £300 for application fees and travel costs,NO,,NO,
2,stylized,openai-4o-mini,7,f12,4,emotional,felt anxious about the financial implications of university,NO,,NO,
