week_id,pipeline,gen_model,day_evaluated,fact_id,fact_day,fact_type,fact_text,verdict_strict,evidence_strict,verdict_lenient,evidence_lenient
1,neutral,openai-4.1-mini,7,f01,1,quantitative,ran 10 kilometers in the morning.,YES,she began with a 10-kilometer run,YES,she began with a 10-kilometer run
1,neutral,openai-4.1-mini,7,f02,1,emotional,felt excited about the upcoming marathon.,NO,,NO,
1,neutral,openai-4.1-mini,7,f03,1,named_entity,attended a workshop at Oslo University.,NO,attended a physiotherapy workshop at Oslo University focused on injury prevention,YES,attended a physiotherapy workshop at Oslo University
1,neutral,openai-4.1-mini,7,f04,2,relational,had lunch with her colleague Anna.,YES,supportive lunch with colleague Anna,YES,supportive lunch with colleague Anna
1,neutral,openai-4.1-mini,7,f05,2,quantitative,spent 45 minutes on strength training.,YES,strength training,YES,strength training
1,neutral,openai-4.1-mini,7,f06,2,emotional,felt a bit overwhelmed with work.,NO,,NO,
1,neutral,openai-4.1-mini,7,f07,3,named_entity,visited the Oslo Opera House.,YES,cultural visit to the Oslo Opera House,YES,cultural visit to the Oslo Opera House
1,neutral,openai-4.1-mini,7,f08,3,quantitative,ran 15 kilometers in the evening.,YES,a 15-kilometer run,YES,a 15-kilometer run
1,neutral,openai-4.1-mini,7,f09,3,relational,reconnected with an old high school friend.,YES,social support from a high school friend,YES,social support from a high school friend
1,neutral,openai-4.1-mini,7,f10,4,emotional,felt proud after finishing her client’s rehabilitation successfully.,YES,motivational boost from a successful client rehabilitation,YES,motivational boost from a successful client rehabilitation
1,neutral,openai-4.1-mini,7,f11,4,quantitative,worked 8 hours at the clinic.,YES,completed a full eight-hour clinic day,YES,completed a full eight-hour clinic day
1,neutral,openai-4.1-mini,7,f12,4,relational,argued with her partner about weekend plans.,YES,faced tension at home over weekend plans,YES,faced tension at home over weekend plans
1,neutral,openai-4.1-mini,7,f13,5,named_entity,met with her running club at Frogner Park.,YES,running club at Frogner Park,YES,running club at Frogner Park
1,neutral,openai-4.1-mini,7,f14,5,quantitative,ran 12 kilometers during the club meet.,YES,a 12-kilometer run,YES,a 12-kilometer run
1,neutral,openai-4.1-mini,7,f15,5,emotional,felt motivated by her running peers.,YES,benefiting from group motivation ahead of the marathon,YES,benefiting from group motivation ahead of the marathon
1,neutral,openai-4.1-mini,7,f16,6,relational,had a long conversation with her mentor about career goals.,YES,deep conversation with her mentor about expanding her physiotherapy practice,YES,deep conversation with her mentor about expanding her physiotherapy practice
1,neutral,openai-4.1-mini,7,f17,6,quantitative,spent 30 minutes studying new physiotherapy techniques.,YES,30 minutes of study on innovative recovery techniques,YES,30 minutes of study on innovative recovery techniques
1,neutral,openai-4.1-mini,7,f18,6,emotional,felt inspired after the conversation.,YES,inspiring 30 minutes of study,YES,inspiring 30 minutes of study
1,neutral,openai-4.1-mini,7,f19,7,named_entity,visited the Holmenkollen Ski Museum.,YES,visiting the Holmenkollen Ski Museum,YES,visiting the Holmenkollen Ski Museum
1,neutral,openai-4.1-mini,7,f20,7,quantitative,ran a total of 20 kilometers during the weekend.,YES,ran a total of 20 kilometers over the weekend,YES,ran a total of 20 kilometers over the weekend
1,neutral,openai-4.1-mini,7,f21,7,emotional,felt relaxed after a week of training and work.,YES,found running helpful for mental relaxation after busy clinic days,YES,found running helpful for mental relaxation after busy clinic days
1,stylized,openai-4.1-mini,7,f01,1,quantitative,ran 10 kilometers in the morning.,NO,,YES,Clocking an impressive 20 kilometers of running
1,stylized,openai-4.1-mini,7,f02,1,emotional,felt excited about the upcoming marathon.,NO,,YES,a rekindling of the competitive spark that fuels her every stride
1,stylized,openai-4.1-mini,7,f03,1,named_entity,attended a workshop at Oslo University.,NO,,YES,immersing herself in the storied history of winter sports
1,stylized,openai-4.1-mini,7,f04,2,relational,had lunch with her colleague Anna.,NO,,NO,
1,stylized,openai-4.1-mini,7,f05,2,quantitative,spent 45 minutes on strength training.,NO,,NO,
1,stylized,openai-4.1-mini,7,f06,2,emotional,felt a bit overwhelmed with work.,NO,,NO,
1,stylized,openai-4.1-mini,7,f07,3,named_entity,visited the Oslo Opera House.,YES,visited the Holmenkollen Ski Museum,YES,the enchanting Holmenkollen Ski Museum
1,stylized,openai-4.1-mini,7,f08,3,quantitative,ran 15 kilometers in the evening.,YES,Clocking an impressive 20 kilometers of running,NO,
1,stylized,openai-4.1-mini,7,f09,3,relational,reconnected with an old high school friend.,NO,,NO,
1,stylized,openai-4.1-mini,7,f10,4,emotional,felt proud after finishing her client’s rehabilitation successfully.,NO,,NO,
1,stylized,openai-4.1-mini,7,f11,4,quantitative,worked 8 hours at the clinic.,NO,,NO,
1,stylized,openai-4.1-mini,7,f12,4,relational,argued with her partner about weekend plans.,NO,,NO,
1,stylized,openai-4.1-mini,7,f13,5,named_entity,met with her running club at Frogner Park.,YES,From Frogner Park’s communal pulse,YES,Frogner Park’s communal pulse
1,stylized,openai-4.1-mini,7,f14,5,quantitative,ran 12 kilometers during the club meet.,NO,,NO,
1,stylized,openai-4.1-mini,7,f15,5,emotional,felt motivated by her running peers.,NO,,YES,a calculated milestone in her escalating marathon prep
1,stylized,openai-4.1-mini,7,f16,6,relational,had a long conversation with her mentor about career goals.,YES,the disciplined ascent charted with her mentor,YES,the quiet wisdom of mentorship
1,stylized,openai-4.1-mini,7,f17,6,quantitative,spent 30 minutes studying new physiotherapy techniques.,NO,,NO,
1,stylized,openai-4.1-mini,7,f18,6,emotional,felt inspired after the conversation.,NO,,NO,
1,stylized,openai-4.1-mini,7,f19,7,named_entity,visited the Holmenkollen Ski Museum.,YES,the enchanting Holmenkollen Ski Museum,YES,the enchanting Holmenkollen Ski Museum
1,stylized,openai-4.1-mini,7,f20,7,quantitative,ran a total of 20 kilometers during the weekend.,YES,Clocking an impressive 20 kilometers of running,YES,Clocking an impressive 20 kilometers of running
1,stylized,openai-4.1-mini,7,f21,7,emotional,felt relaxed after a week of training and work.,NO,,NO,
1,decoupled,openai-4.1-mini,7,f01,1,quantitative,ran 10 kilometers in the morning.,YES,I ran 10 kilometers this morning,YES,I ran 10 kilometers this morning
1,decoupled,openai-4.1-mini,7,f02,1,emotional,felt excited about the upcoming marathon.,YES,I’m really excited about the upcoming marathon.,YES,I’m really excited about the upcoming marathon
1,decoupled,openai-4.1-mini,7,f03,1,named_entity,attended a workshop at Oslo University.,YES,"At Oslo University, the star immersed in a focused workshop on physiotherapy strategies",YES,immersed in a focused workshop at Oslo University
1,decoupled,openai-4.1-mini,7,f04,2,relational,had lunch with her colleague Anna.,YES,"Tuesday’s lunch with Anna, a supportive colleague and training partner",YES,"Tuesday’s lunch with Anna, a supportive colleague"
1,decoupled,openai-4.1-mini,7,f05,2,quantitative,spent 45 minutes on strength training.,NO,,YES,the day’s strength training for marathon prep felt taxing
1,decoupled,openai-4.1-mini,7,f06,2,emotional,felt a bit overwhelmed with work.,NO,,YES,work demands loomed large
1,decoupled,openai-4.1-mini,7,f07,3,named_entity,visited the Oslo Opera House.,YES,A visit to the iconic Oslo Opera House,YES,A visit to the iconic Oslo Opera House
1,decoupled,openai-4.1-mini,7,f08,3,quantitative,ran 15 kilometers in the evening.,YES,the evening’s intense 15-kilometer run,YES,the evening’s intense 15-kilometer run
1,decoupled,openai-4.1-mini,7,f09,3,relational,reconnected with an old high school friend.,YES,Joy bubbled over when an old high school friend resurfaced,YES,"an old high school friend resurfaced, and the two rekindled their shared love for running"
